frequency	counts0012	err	RUN0	RUN1	RUN2	RUN3	RUN4	RUN5	RUN6	RUN7	RUN8	RUN9
49.647669	3.7133333333	0.15733898295	3.6666666667	4	3.6	3.4666666667	4.2666666667	5	2.8	3.7333333333	3.7333333333	2.8666666667
49.647671	3.64	0.15577761927	3.6666666667	3.8	4.2666666667	5.3333333333	4.4	3.9333333333	3.2	2.4666666667	3.1333333333	2.2
49.647673	3.7	0.15705625319	3.4	5.4	4.7333333333	4.4	3.4666666667	2.4	2.8666666667	4.2	3	3.1333333333
49.647675	3.6733333333	0.15648926126	4.5333333333	3.5333333333	4.9333333333	3.4666666667	3.3333333333	3.5333333333	2.4	4	3.7333333333	3.2666666667
49.647677	3.52	0.15318833724	2.8	3.0666666667	5	4.3333333333	3.9333333333	3.9333333333	3.9333333333	3.2	2.4666666667	2.5333333333
49.647679	3.5866666667	0.15463218006	4.2666666667	4.3333333333	3.4	4.5333333333	3.2666666667	3.4666666667	2.8666666667	2.5333333333	3.2	4
49.647681	3.44	0.15143755589	2.8666666667	5	3.6666666667	4.2666666667	3.5333333333	3.7333333333	3.1333333333	2	3.2666666667	2.9333333333
49.647683	3.2866666667	0.14802402207	2.5333333333	3.4	3.0666666667	3.5333333333	3.9333333333	3.4666666667	3.6666666667	2.8	2.9333333333	3.5333333333
49.647685	3.64	0.15577761927	4.2666666667	5.8666666667	3.4666666667	3.5333333333	3.3333333333	3.2666666667	2.5333333333	2.2666666667	3.4	4.4666666667
49.647687	4.0066666667	0.1634353423	5.2	5.1333333333	5.2	4.7333333333	3.0666666667	3.3333333333	2.7333333333	3.3333333333	3.8666666667	3.4666666667
49.647689	3.6133333333	0.15520595636	3.5333333333	3.7333333333	3.1333333333	4.6666666667	3.6	5.2666666667	2.1333333333	2.6666666667	3.8666666667	3.5333333333
49.647691	3.66	0.15620499352	4.8666666667	3.2666666667	2.9333333333	4.4666666667	5.0666666667	4.2	2.1333333333	3.1333333333	3.2	3.3333333333
49.647693	3.3933333333	0.15040685564	4.5333333333	3.4	4.2666666667	3.2666666667	3.4666666667	2.7333333333	3.2	2.8	3	3.2666666667
49.647695	3.34	0.14922019524	3.4666666667	4.2	4.0666666667	3.5333333333	3.0666666667	3.2	1.6	3.0666666667	2.9333333333	4.2666666667
49.647697	3.8533333333	0.16027753707	5.2	3.8666666667	4.5333333333	3.8	4.6666666667	3.6	3.5333333333	2.8	3.0666666667	3.4666666667
49.647699	3.2866666667	0.14802402207	3.0666666667	4.3333333333	2.7333333333	3.7333333333	3.8	3.3333333333	2.8666666667	1.9333333333	2.2	4.8666666667
49.647701	3.56	0.15405626678	2.9333333333	3.6	3.9333333333	4.8	3.8666666667	3.0666666667	3.2666666667	3.2	3.4666666667	3.4666666667
49.647703	3.08	0.1432945684	3.2666666667	4	3.1333333333	2.7333333333	3.0666666667	3.4666666667	2.4666666667	3.2666666667	2.8666666667	2.5333333333
49.647705	3.2133333333	0.14636332267	3	3.3333333333	2.8666666667	2.6	4.0666666667	3.4	3.0666666667	2.2666666667	3.7333333333	3.8
49.647707	3.0866666667	0.14344956528	2.9333333333	3.3333333333	3.5333333333	3.8666666667	3.6	2.0666666667	2.5333333333	3.6666666667	2.2666666667	3.0666666667
49.647709	2.8333333333	0.13743685419	3	2.8	3.9333333333	2.5333333333	3.1333333333	2.3333333333	3	2.9333333333	2.5333333333	2.1333333333
49.647711	2.3933333333	0.12631530214	3.4666666667	2.9333333333	3	2.7333333333	3.5333333333	1.4	1.4	1.6666666667	1.7333333333	2.0666666667
49.647713	2.3666666667	0.12560962454	2.0666666667	1.9333333333	2.6	3	3.4	1.7333333333	2.2	0.93333333333	2.6	3.2
49.647715	2.54	0.13012814197	3.1333333333	2.8666666667	2.7333333333	1.8666666667	3.5333333333	2.3333333333	1.7333333333	1.8666666667	3.2666666667	2.0666666667
49.647717	2.42	0.12701705922	2.9333333333	2.4666666667	2.8	2.3333333333	2.4	2.0666666667	2.3333333333	1.6666666667	2.5333333333	2.6666666667
49.647719	2.2533333333	0.12256517541	2.4666666667	3.1333333333	3.1333333333	2.4666666667	2.1333333333	2.0666666667	1.9333333333	1.5333333333	1.8	1.8666666667
49.647721	2.6933333333	0.13399834161	2.6666666667	2.7333333333	3.2	2.6666666667	2.8	3.1333333333	2.7333333333	3.1333333333	1.6666666667	2.2
49.647723	2.5933333333	0.13148721949	1.8	3.0666666667	3.0666666667	2.5333333333	3.1333333333	1.8	3.0666666667	2.9333333333	1.8666666667	2.6666666667
49.647725	3.1066666667	0.1439135543	3.2666666667	2.8666666667	2.4	3.6666666667	2.8666666667	2.9333333333	2.2666666667	4.0666666667	3	3.7333333333
49.647727	3.0933333333	0.14360439486	3.2	2.6666666667	3.7333333333	3.5333333333	4.0666666667	2.2	2.3333333333	2.7333333333	3	3.4666666667
49.647729	3.1666666667	0.14529663145	3.6666666667	4.2666666667	3.4	4.0666666667	2.7333333333	2.7333333333	2.8666666667	2.5333333333	2.9333333333	2.4666666667
49.647731	3.3466666667	0.14936904335	3.6	3.2666666667	3.7333333333	3.2	3.4666666667	2.7333333333	2.7333333333	3.6666666667	3.6	3.4666666667
49.647733	3.1	0.14375905769	3.8666666667	2.8	4.1333333333	2.7333333333	3.4666666667	2.8666666667	3.2666666667	2.2666666667	1.9333333333	3.6666666667
49.647735	3.3866666667	0.15025903559	3.9333333333	3.9333333333	3.2666666667	4.4	4.2	2.8	1.8666666667	3.2	3.2666666667	3
49.647737	3.5933333333	0.15477582355	3.6666666667	3.3333333333	4.8	4.6	3.6666666667	2.8	3.9333333333	2.4	3.5333333333	3.2
49.647739	3.2333333333	0.14681810364	3.5333333333	3.4	3.6666666667	3.6	3.2666666667	4	2.8666666667	2.6666666667	2.8666666667	2.4666666667
49.647741	3.1333333333	0.14452988926	3.2	3.8666666667	3.8666666667	3.2666666667	3.2	2.5333333333	2.8666666667	2.3333333333	2.6	3.6
49.647743	3.28	0.14787382009	2.4666666667	4.2	3.6666666667	3.7333333333	3.4	2.2	2.8666666667	3.2	3.7333333333	3.3333333333
49.647745	3.08	0.1432945684	2.8	3.4666666667	3.6	2.4666666667	3.6666666667	3.0666666667	2.3333333333	3.6666666667	2.6	3.1333333333
49.647747	3.2266666667	0.14666666667	3.7333333333	2.4	4.3333333333	3.2	3.8666666667	1.9333333333	1.9333333333	3.2666666667	4.0666666667	3.5333333333
49.647749	3.5866666667	0.15463218006	4.6	4	4	3.4	4.4	2.6	2.2666666667	4.0666666667	3.7333333333	2.8
49.647751	3.64	0.15577761927	3.5333333333	4.2666666667	3.4666666667	4.1333333333	3.8666666667	3.5333333333	3.8666666667	3.6666666667	3.2666666667	2.8
